Class,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,U1,U2,U3,U4,U5
Class_1,2.66917546604351,4.76178292268744,0.328499961835294,6.09135112455365,3.08648737616844,4.29616804140298,4.12119262051331,-0.399181625604529,3.79237556411255,4.14713287939838,-0.0946537580368488,2.07396139462956,1.24027762938144,-1.35217134346927,-0.251987609311519
Class_1,4.57435859469521,4.1837103636245,2.33833797961589,3.79864460350347,1.86039640442065,1.77757938084789,2.27852162937743,1.33898000176728,1.86605107842353,1.17009937434326,-0.335749000921179,0.355248794893353,1.18259689371289,-0.366996403813651,0.994170230292134
Class_1,3.73025187275292,5.28023053034049,1.10589254014658,4.01731500561806,4.623563318975,2.54486957536712,4.40369073041565,1.38556119860778,3.88313338336139,3.99771155353839,-0.875324824335344,-0.537626676315252,-1.33418855936283,0.760815256528283,-0.393873589955096
Class_1,3.35269684705285,4.25472589735294,-0.0508882583500279,3.16510569702913,4.1227765399797,2.6754008321997,3.76897707648306,1.11628721368821,4.07134107375238,3.01384372539783,-1.13255449171348,0.0903163658583597,-0.596320294015713,-1.20877829147781,1.45176227538026
Class_1,4.12104422386627,3.55203801381652,2.02486881279526,3.33052998427623,1.9720396759717,1.03590864775662,3.55132453179788,1.43292029824823,3.15032840610692,2.95172172042863,-0.56602063273169,0.348538284602587,-1.32949216503638,-1.90855673202378,-0.834997129573646
Class_1,3.87171028620065,2.44820550671968,0.575822986812173,4.64176905285136,1.70796723979039,2.42398178890437,2.0068895942665,0.204455320169929,3.26857493439383,3.52912112391335,-0.974384403128723,-0.517518995099845,-0.182113418617215,-0.497749386024871,2.0014571533496
Class_1,3.89964983199665,5.20001663893245,0.600780137299171,3.85296067142715,3.24326627836155,2.17687265281833,3.11344358243822,0.500623008305216,4.69410186024425,4.86787484971256,0.945082340846264,0.287301302415267,0.0491385446373278,-0.637044510630347,0.820293024018973
Class_1,2.27100702699587,4.34346995132639,1.57980448889587,4.81049302891098,3.49502723986771,3.08676656368382,3.87514672410288,1.35538288557486,3.67980015081142,3.82078543174416,0.247741105300021,1.66807499684583,0.412076431613412,0.676231932030489,-0.361525358178745
Class_1,4.4246973126989,6.4032544953086,0.454551632547671,4.98464768000742,4.39493568831063,2.06425131441963,3.19661865245351,0.391755657947509,4.50483658008162,4.36711086379018,-0.104674620432457,-1.08093672458647,-0.422353546385099,-1.869411030258,-2.12565181990003
Class_1,5.73039267800534,4.19689744732646,0.659722758116371,3.75359247171968,3.62909918843858,3.13177078569999,4.06783881999063,-0.704317158543505,4.76444929684794,3.62692231964781,-0.907276482340544,0.297208816443405,0.303016425333838,-0.126005415934356,-0.347597923190669
